7f000001:881f	5597:194	648852954	649009739	1	451
7f000001:881f	5597:195	649139626	649315180	1	16535
7f000001:881f	5597:196	649319642	649508865	1	31607
7f000001:881f	5597:197	649644503	649888148	1	25976
7f000001:881f	5597:198	649892594	650116877	1	17108
7f000001:881f	5597:199	650113761	650408316	1	34577
7f000001:881f	5597:200	650405012	650615391	1	10495
7f000001:881f	5597:201	650619931	650767657	1	8089
7f000001:881f	5597:202	650870564	651036925	1	11085
7f000001:881f	5597:203	651219789	651376698	1	10173
7f000001:881f	5597:204	651493105	651645354	1	13479
7f000001:881f	5597:205	651649661	651808767	1	169
7f000001:881f	5597:206	651939977	652097770	1	9706
7f000001:881f	5597:207	652102202	652285884	1	22300
7f000001:881f	5597:208	652282937	652475094	1	16102
7f000001:881f	5597:209	652682708	652935217	1	2240
7f000001:881f	5597:210	652943654	653183521	1	20104
7f000001:881f	5597:211	653179932	653385058	1	5278
7f000001:881f	5597:212	653389512	653553413	1	5300
7f000001:881f	5597:213	653806845	654052604	1	38403
7f000001:881f	5597:214	654057349	654197499	1	8951
7f000001:881f	5597:215	654343631	654660232	1	74545
7f000001:881f	5597:216	654665094	654856902	1	22895
7f000001:881f	5597:217	654853863	654998603	1	11837
7f000001:881f	5597:218	655113343	655278248	1	7558
7f000001:881f	5597:219	655282485	655465714	1	24275
7f000001:881f	5597:220	655646084	655814873	1	12005
7f000001:881f	5597:221	655821926	656009766	1	6703
7f000001:881f	5597:222	656166561	656311460	1	327
7f000001:881f	5597:223	656649712	656898381	1	77337
7f000001:881f	5597:224	656894511	660623548	1	28877
7f000001:881f	5597:225	656983109	660806666	1	3121
7f000001:881f	5597:226	661115195	661356284	1	28011
7f000001:881f	5597:227	661352430	661527878	1	34993
7f000001:881f	5597:228	661533561	661689454	1	8177
7f000001:881f	5597:229	661774703	662228498	1	31605
7f000001:881f	5597:230	662240261	662465680	1	8786
7f000001:881f	5597:231	662461331	662615470	2	14169
7f000001:881f	5597:232	662463640	662839229	1	1638
7f000001:881f	5597:233	662835686	663063543	1	3120
7f000001:881f	5597:234	663060359	663291883	1	28351
7f000001:881f	5597:235	663296821	663506112	1	4423
7f000001:881f	5597:236	663510561	663680370	1	16361
7f000001:881f	5597:237	663677289	663856018	1	918
7f000001:881f	5597:238	664027396	664194260	1	11599
7f000001:881f	5597:239	664199604	665149665	1	3113
7f000001:881f	5597:240	665141215	665312335	1	2308
7f000001:881f	5597:241	665317643	665478985	1	18431
7f000001:881f	5597:242	665534669	665842358	1	21880
7f000001:881f	5597:243	665847371	666112655	1	37796
7f000001:881f	5597:244	666275617	666380169	1	2282
7f000001:881f	5597:245	666610346	666839689	1	23891
7f000001:881f	5597:246	666844532	667050395	1	10654
7f000001:881f	5597:247	667047274	667150952	1	13888
7f000001:881f	5597:248	667313164	667422412	1	1560
7f000001:881f	5597:249	667599798	667861674	1	43266
7f000001:881f	5597:250	668258574	668589275	1	13563
7f000001:881f	5597:251	669438070	669810935	1	853
7f000001:881f	5597:252	669925982	670242227	1	16726
7f000001:881f	5597:253	670338144	670450132	1	19677
7f000001:881f	5597:254	670618569	670812862	1	2344
7f000001:881f	5597:255	670928575	671048898	1	4736
7f000001:881f	5597:256	671388614	671629017	1	1215
7f000001:881f	5597:257	671637423	671786352	1	1714
7f000001:881f	5597:258	671783106	671930511	1	5521
7f000001:881f	5597:259	671927595	672069017	1	25806
7f000001:881f	5597:260	672321142	672437537	1	17067
7f000001:881f	5597:261	672493321	673395768	1	33481
7f000001:881f	5597:262	673538345	673642915	1	17577
7f000001:881f	5597:263	673698082	673842159	1	13028
7f000001:881f	5597:264	673846614	673986632	1	63515
7f000001:881f	5597:265	674039844	674180656	1	13567
7f000001:881f	5597:266	674234077	674373813	1	11857
7f000001:881f	5597:267	674427683	674567729	1	13938
7f000001:881f	5597:268	674620937	674760782	1	19405
7f000001:881f	5597:269	674814583	674954190	1	419
7f000001:881f	5597:270	675007339	675146671	1	45721
7f000001:881f	5597:271	675200508	675353637	1	60421
7f000001:881f	5597:272	675408761	675549172	1	912
7f000001:881f	5597:273	675602793	675742626	1	22876
7f000001:881f	5597:274	675796576	675935503	1	66730
7f000001:881f	5597:275	675988939	676127744	1	20155
7f000001:881f	5597:276	676181185	676419247	1	35230
7f000001:881f	5597:277	676423886	676571810	1	14910
7f000001:881f	5597:278	676568745	676747744	1	28595
7f000001:881f	5597:279	676752152	676893859	1	1511
7f000001:881f	5597:280	677056914	677276013	1	9176
